День,chat gpt
2025-02-05,75
2025-02-06,75
2025-02-07,69
2025-02-08,39
2025-02-09,39
2025-02-10,73
2025-02-11,81
2025-02-12,81
2025-02-13,79
2025-02-14,68
2025-02-15,36
2025-02-16,38
2025-02-17,62
2025-02-18,77
2025-02-19,80
2025-02-20,73
2025-02-21,66
2025-02-22,37
2025-02-23,42
2025-02-24,79
2025-02-25,82
2025-02-26,80
2025-02-27,80
2025-02-28,73
2025-03-01,40
2025-03-02,41
2025-03-03,77
2025-03-04,83
2025-03-05,79
2025-03-06,80
2025-03-07,69
2025-03-08,37
2025-03-09,41
2025-03-10,74
2025-03-11,75
2025-03-12,76
2025-03-13,73
2025-03-14,64
2025-03-15,35
2025-03-16,40
2025-03-17,78
2025-03-18,76
2025-03-19,80
2025-03-20,73
2025-03-21,62
2025-03-22,34
2025-03-23,39
2025-03-24,75
2025-03-25,79
2025-03-26,78
2025-03-27,77
2025-03-28,68
2025-03-29,40
2025-03-30,47
2025-03-31,86
2025-04-01,82
2025-04-02,80
2025-04-03,80
2025-04-04,72
2025-04-05,42
2025-04-06,50
2025-04-07,85
2025-04-08,87
2025-04-09,83
2025-04-10,89
2025-04-11,85
2025-04-12,51
2025-04-13,55
2025-04-14,88
2025-04-15,95
2025-04-16,88
2025-04-17,84
2025-04-18,64
2025-04-19,40
2025-04-20,44
2025-04-21,84
2025-04-22,92
2025-04-23,91
2025-04-24,92
2025-04-25,82
2025-04-26,45
2025-04-27,54
2025-04-28,93
2025-04-29,100
2025-04-30,94
2025-05-01,91
2025-05-02,81
2025-05-03,44
2025-05-04,49
2025-05-05,79
