Date,Trend
2004-01,13
2004-02,14
2004-03,16
2004-04,16
2004-05,20
2004-06,22
2004-07,27
2004-08,18
2004-09,16
2004-10,13
2004-11,14
2004-12,13
2005-01,12
2005-02,14
2005-03,15
2005-04,19
2005-05,22
2005-06,27
2005-07,28
2005-08,21
2005-09,16
2005-10,13
2005-11,14
2005-12,14
2006-01,13
2006-02,15
2006-03,16
2006-04,19
2006-05,22
2006-06,25
2006-07,31
2006-08,23
2006-09,18
2006-10,16
2006-11,16
2006-12,16
2007-01,16
2007-02,15
2007-03,19
2007-04,21
2007-05,26
2007-06,28
2007-07,30
2007-08,23
2007-09,19
2007-10,15
2007-11,15
2007-12,15
2008-01,15
2008-02,15
2008-03,17
2008-04,21
2008-05,25
2008-06,27
2008-07,28
2008-08,22
2008-09,17
2008-10,15
2008-11,15
2008-12,14
2009-01,14
2009-02,16
2009-03,18
2009-04,21
2009-05,26
2009-06,31
2009-07,34
2009-08,29
2009-09,24
2009-10,20
2009-11,20
2009-12,18
2010-01,19
2010-02,19
2010-03,20
2010-04,23
2010-05,27
2010-06,30
2010-07,36
2010-08,28
2010-09,22
2010-10,18
2010-11,16
2010-12,16
2011-01,23
2011-02,23
2011-03,24
2011-04,45
2011-05,35
2011-06,41
2011-07,46
2011-08,34
2011-09,29
2011-10,29
2011-11,27
2011-12,28
2012-01,29
2012-02,32
2012-03,35
2012-04,39
2012-05,47
2012-06,54
2012-07,54
2012-08,40
2012-09,30
2012-10,25
2012-11,22
2012-12,23
2013-01,23
2013-02,25
2013-03,27
2013-04,29
2013-05,37
2013-06,43
2013-07,49
2013-08,38
2013-09,27
2013-10,22
2013-11,22
2013-12,21
2014-01,24
2014-02,24
2014-03,28
2014-04,31
2014-05,38
2014-06,45
2014-07,49
2014-08,40
2014-09,28
2014-10,22
2014-11,21
2014-12,22
2015-01,24
2015-02,26
2015-03,32
2015-04,38
2015-05,42
2015-06,48
2015-07,57
2015-08,44
2015-09,35
2015-10,26
2015-11,25
2015-12,25
2016-01,31
2016-02,31
2016-03,41
2016-04,45
2016-05,51
2016-06,61
2016-07,72
2016-08,48
2016-09,40
2016-10,39
2016-11,43
2016-12,61
2017-01,35
2017-02,37
2017-03,44
2017-04,56
2017-05,61
2017-06,74
2017-07,87
2017-08,62
2017-09,48
2017-10,38
2017-11,36
2017-12,35
2018-01,39
2018-02,41
2018-03,51
2018-04,55
2018-05,70
2018-06,77
2018-07,90
2018-08,64
2018-09,47
2018-10,39
2018-11,34
2018-12,33
2019-01,38
2019-02,43
2019-03,53
2019-04,56
2019-05,67
2019-06,79
2019-07,100
2019-08,68
2019-09,52
2019-10,40
2019-11,35
2019-12,36
2020-01,43
2020-02,45
2020-03,43
2020-04,51
2020-05,70
2020-06,82
2020-07,85
2020-08,72
2020-09,55
2020-10,42
2020-11,38
2020-12,36
2021-01,43
2021-02,49
2021-03,55
2021-04,65
2021-05,75
2021-06,87
2021-07,89
2021-08,72
2021-09,57
2021-10,45
2021-11,41
2021-12,40
2022-01,45
2022-02,48
2022-03,55
2022-04,64
2022-05,76
2022-06,84
2022-07,98
2022-08,76
2022-09,55
2022-10,47
2022-11,41
2022-12,40
2023-01,45
2023-02,49
2023-03,57
2023-04,68
2023-05,78
2023-06,85
2023-07,97
2023-08,73
2023-09,56
2023-10,45
2023-11,42
2023-12,42
2024-01,43
2024-02,48
2024-03,60
2024-04,64
2024-05,76
2024-06,92
2024-07,92
2024-08,72
2024-09,58
2024-10,47
2024-11,44
2024-12,43
2025-01,46
2025-02,48
2025-03,65
2025-04,63
