Date,Trend
2004-01,4
2004-02,4
2004-03,5
2004-04,4
2004-05,4
2004-06,4
2004-07,3
2004-08,3
2004-09,4
2004-10,4
2004-11,4
2004-12,3
2005-01,3
2005-02,4
2005-03,3
2005-04,3
2005-05,3
2005-06,3
2005-07,3
2005-08,3
2005-09,3
2005-10,3
2005-11,3
2005-12,3
2006-01,3
2006-02,3
2006-03,3
2006-04,3
2006-05,3
2006-06,3
2006-07,6
2006-08,5
2006-09,4
2006-10,5
2006-11,5
2006-12,4
2007-01,5
2007-02,5
2007-03,5
2007-04,5
2007-05,5
2007-06,5
2007-07,4
2007-08,5
2007-09,4
2007-10,4
2007-11,5
2007-12,4
2008-01,5
2008-02,5
2008-03,4
2008-04,4
2008-05,6
2008-06,5
2008-07,6
2008-08,5
2008-09,5
2008-10,5
2008-11,5
2008-12,5
2009-01,5
2009-02,5
2009-03,6
2009-04,6
2009-05,6
2009-06,5
2009-07,11
2009-08,5
2009-09,5
2009-10,5
2009-11,5
2009-12,4
2010-01,5
2010-02,6
2010-03,5
2010-04,5
2010-05,5
2010-06,6
2010-07,6
2010-08,5
2010-09,5
2010-10,5
2010-11,5
2010-12,5
2011-01,6
2011-02,6
2011-03,6
2011-04,6
2011-05,5
2011-06,5
2011-07,5
2011-08,5
2011-09,5
2011-10,6
2011-11,6
2011-12,5
2012-01,5
2012-02,7
2012-03,6
2012-04,6
2012-05,6
2012-06,6
2012-07,7
2012-08,6
2012-09,7
2012-10,7
2012-11,8
2012-12,7
2013-01,7
2013-02,9
2013-03,9
2013-04,9
2013-05,13
2013-06,11
2013-07,12
2013-08,16
2013-09,12
2013-10,14
2013-11,13
2013-12,11
2014-01,11
2014-02,13
2014-03,14
2014-04,14
2014-05,14
2014-06,14
2014-07,15
2014-08,14
2014-09,13
2014-10,17
2014-11,13
2014-12,12
2015-01,15
2015-02,16
2015-03,14
2015-04,16
2015-05,21
2015-06,16
2015-07,17
2015-08,18
2015-09,19
2015-10,21
2015-11,16
2015-12,16
2016-01,16
2016-02,18
2016-03,20
2016-04,40
2016-05,19
2016-06,19
2016-07,21
2016-08,18
2016-09,18
2016-10,21
2016-11,20
2016-12,18
2017-01,19
2017-02,21
2017-03,20
2017-04,26
2017-05,22
2017-06,23
2017-07,34
2017-08,27
2017-09,24
2017-10,24
2017-11,38
2017-12,27
2018-01,26
2018-02,32
2018-03,26
2018-04,26
2018-05,27
2018-06,25
2018-07,26
2018-08,30
2018-09,30
2018-10,31
2018-11,25
2018-12,27
2019-01,28
2019-02,25
2019-03,37
2019-04,32
2019-05,35
2019-06,33
2019-07,33
2019-08,31
2019-09,30
2019-10,34
2019-11,65
2019-12,43
2020-01,44
2020-02,51
2020-03,37
2020-04,31
2020-05,35
2020-06,40
2020-07,56
2020-08,52
2020-09,65
2020-10,46
2020-11,42
2020-12,48
2021-01,67
2021-02,60
2021-03,57
2021-04,52
2021-05,50
2021-06,46
2021-07,46
2021-08,45
2021-09,40
2021-10,51
2021-11,57
2021-12,54
2022-01,54
2022-02,48
2022-03,56
2022-04,56
2022-05,53
2022-06,52
2022-07,45
2022-08,47
2022-09,42
2022-10,43
2022-11,41
2022-12,46
2023-01,57
2023-02,54
2023-03,50
2023-04,48
2023-05,45
2023-06,51
2023-07,56
2023-08,50
2023-09,51
2023-10,47
2023-11,43
2023-12,51
2024-01,51
2024-02,47
2024-03,50
2024-04,57
2024-05,50
2024-06,50
2024-07,53
2024-08,47
2024-09,44
2024-10,57
2024-11,62
2024-12,60
2025-01,63
2025-02,60
2025-03,100
2025-04,83
